name,company,city,state,country,address,state_clean
2 Peekay Drive,Digital Realty Trust,Clifton,New Jersey,United States,Peekay Dr 2 07014 Clifton United States,NJ
2 Peekay Drive,CBRE,Clifton,New Jersey,United States,2 Peekay Dr 07014 Clifton USA,NJ
200 N. LaSalle,CenturyLink,Chicago,Illinois,United States,200 N LaSalle St 60601 Chicago United States,IL
200 North Nash Street,Digital Realty Trust,Street,California,United States,200 North Nash Street CA 90245 El Segundo United States,CA
200 Paul Avenue 1-4,Digital Realty Trust,San,California,United States,200 Paul Avenue 1-4 94110 San Francisco United States,CA
200 South 10th Street,CBRE,McAllen,Texas,United States,200 South 10th Street 78501 McAllen United States,TX
200 Technology Center,Transwestern,Miami,Florida,United States,200 SE 1st Street 33131 Miami United States,FL
2000 Kubach Road,Mapletree Redwood Data Centre Trust (MRDCT),Philadelphia,Pennsylvania,United States,2000 Kubach Rd 19116 Philadelphia USA,PA
2001 Sixth Avenue,Digital Realty Trust,Seattle,Washington,United States,2001 Sixth Avenue 98121 Seattle United States,WA
2010 East Centennial Circle,Digital Realty Trust,Tempe,Arizona,United States,2010 East Centennial Circle 85280 Tempe United States,AZ
2020 Live Oak,MCFMAX,Dallas,Texas,United States,2020 Live Oak 75201 Dallas United States,TX
2045 & 2055 LaFayette Street,Digital Realty Trust,Santa,California,United States,2045 & 2055 LaFayette Street 90210 Santa Clara United States,CA
2055 E Technology Circle,Digital Realty Trust,Tempe,Arizona,United States,2055 E Technology Circle 85284 Tempe United States,AZ
209 10th Ave South,Zayo Group LLC,Nashville,Tennessee,United States,209 10th Ave South 37203 Nashville United States,TN
210 Hudson Street,Cyxtera,Jersey,New Jersey,United States,"210 Hudson St, Suite 802 07302 Jersey City United States",NJ
210 N. Tucker Blvd,Cybercon,St.,Missouri,United States,"210 N. Tucker Blvd., Suite 700 63101 St. Louis United States",MO
210 North Tucker,Netrality,St.,Missouri,United States,210 N Tucker Blvd 63101 St. Louis USA,MO
